ID,CabinDeck,CabinSide,CabinRegion,Home,Destination,AgeGroup,Age,FamilySize,GroupSize,Commodities,ProductBills,ServiceBills,TotalBills,NoBills,Solo,VIP,CryoSleep,Transported,TrainSet
0001_01,B,P,1,Europa,D3,Adult,39,4,1,0,0,0,0,True,True,False,False,False,True
0002_01,F,S,1,Earth,D3,Adult,24,4,1,5,34,702,736,False,True,False,False,True,True
0003_01,A,S,1,Europa,D3,Adult,58,7,2,4,3576,6807,10383,False,False,True,False,False,True
0003_02,A,S,1,Europa,D3,Adult,33,7,2,4,1654,3522,5176,False,False,False,False,False,True
0004_01,F,S,1,Earth,D3,Teen,16,9,1,5,221,870,1091,False,True,False,False,True,True
0005_01,F,P,1,Earth,D2,Adult,44,10,1,2,483,291,774,False,True,False,False,True,True
0006_01,F,S,1,Earth,D3,Adult,26,9,2,3,1542,42,1584,False,False,False,False,True,True
0006_02,G,S,1,Earth,D3,Adult,28,9,2,0,0,0,0,True,False,False,True,True,True
0007_01,F,S,1,Earth,D3,Adult,35,5,1,3,802,216,1018,False,True,False,False,True,True
0008_01,B,P,1,Europa,D1,Teen,14,3,3,0,0,0,0,True,False,False,True,True,True
0008_02,B,P,1,Europa,D3,Adult,34,3,3,0,0,0,0,True,False,False,True,True,True
0008_03,B,P,1,Europa,D1,Adult,45,3,3,5,7884,273,8157,False,False,False,False,True,True
0009_01,F,P,1,Mars,D3,Adult,32,4,1,3,1123,186,1309,False,True,False,False,True,True
0010_01,G,S,1,Earth,D3,Adult,48,6,1,4,66,743,809,False,True,False,False,False,True
0011_01,F,P,1,Earth,D3,Adult,28,9,1,5,986,17,1003,False,True,False,False,True,True
0012_01,G,S,1,Earth,D3,Adult,31,12,1,2,876,32,908,False,True,False,False,False,True
0013_01,G,S,1,Earth,D3,Adult,27,8,1,0,0,0,0,True,True,False,True,,False
0014_01,F,P,1,Mars,D1,Adult,27,2,1,2,122,1286,1408,False,True,False,False,False,True
0015_01,F,P,1,Earth,D1,Adult,24,9,1,2,1,637,638,False,True,False,False,False,True
0016_01,F,P,1,Mars,D3,Adult,45,7,1,0,0,0,0,True,True,False,True,True,True
0017_01,G,P,1,Earth,D3,Child,0,8,2,0,0,0,0,True,False,False,False,True,True
0017_02,F,P,1,Earth,D1,Teen,14,8,2,3,1,1091,1092,False,False,False,False,False,True
0018_01,F,S,1,Earth,D3,Adult,19,4,1,2,9,2823,2832,False,True,False,False,,False
0019_01,C,S,1,Europa,D1,Adult,31,6,1,0,0,0,0,True,True,False,True,,False
0020_01,E,S,1,Earth,D3,Child,1,8,6,0,0,0,0,True,False,False,True,False,True
0020_02,E,S,1,Earth,D1,Adult,49,8,6,0,0,0,0,True,False,False,True,False,True
0020_03,E,S,1,Earth,D1,Adult,29,7,6,0,0,0,0,True,False,False,True,False,True
0020_04,E,S,1,Earth,D3,Child,10,6,6,0,0,0,0,True,False,False,False,True,True
0020_05,E,S,1,Earth,D2,Child,1,8,6,0,0,0,0,True,False,False,True,False,True
0020_06,E,S,1,Earth,D3,Child,7,7,6,0,0,0,0,True,False,False,False,False,True
0021_01,C,S,1,Europa,D3,Adult,38,2,1,3,6652,766,7418,False,True,False,False,,False
0022_01,D,P,1,Mars,D3,Adult,21,0,1,3,71,980,1051,False,True,False,False,False,True
0023_01,F,S,1,Earth,D3,Adult,20,5,1,2,635,10,645,False,True,False,False,,False
0024_01,C,S,1,Europa,D3,Adult,62,1,1,0,0,0,0,True,True,False,True,True,True
0025_01,F,S,1,Earth,D3,Teen,15,6,1,2,225,998,1223,False,True,False,False,False,True
0026_01,C,P,1,Europa,D1,Adult,34,2,1,4,6073,1788,7861,False,True,False,False,False,True
0027_01,F,P,1,Earth,D3,Adult,31,9,1,4,1878,173,2051,False,True,False,False,,False
0028_01,F,P,1,Mars,D3,Adult,43,5,1,3,136,1173,1309,False,True,False,False,False,True
